sample_id,ena_analysis
AR0001-C,ERZ1695275
AR0002-C,ERZ1695276
AR0004-C,ERZ1695277
AR0006-C,ERZ1695278
AR0007-C,ERZ1695279
AR0008-C,ERZ1695280
AR0009-C,ERZ1695281
AR0010-Cx,ERZ1695282
AR0011-C,ERZ1695283
AR0012-C,ERZ1695284
AR0013-Cx,ERZ1695285
AR0014-C,ERZ1695286
AR0015-C,ERZ1695287
AR0016-Cx,ERZ1695288
AR0017-C,ERZ1695289
AR0018-Cx,ERZ1695290
AR0019-C,ERZ1695291
AR0020-C,ERZ1695292
AR0021-C,ERZ1695293
AR0022-C,ERZ1695294
AR0023-C,ERZ1695295
AR0024-C,ERZ1695296
AR0026-C,ERZ1695297
AR0027-C,ERZ1695298
AR0034-C,ERZ1695299
AR0035-C,ERZ1695300
AR0036-C,ERZ1695301
AR0038-C,ERZ1695302
AR0040-C,ERZ1695303
AR0042-C,ERZ1695304
AR0043-C,ERZ1695305
AR0044-C,ERZ1695306
AR0045-C,ERZ1695307
AR0046-C,ERZ1695308
AR0047-C,ERZ1695309
AR0048-C,ERZ1695310
AR0049-C,ERZ1695311
AR0050-Cx,ERZ1695312
AR0051-C,ERZ1695313
AR0052-C,ERZ1695314
AR0053-C,ERZ1695315
AR0054-Cx,ERZ1695316
AR0057-C,ERZ1695317
AR0059-C,ERZ1695318
AR0060-C,ERZ1695319
AR0061-C,ERZ1695320
AR0062-C,ERZ1695321
AR0063-C,ERZ1695322
AR0064-C,ERZ1695323
AR0065-C,ERZ1695324
AR0066-C,ERZ1695325
AR0069-Cx,ERZ1695326
AR0070-Cx,ERZ1695327
AR0071-C,ERZ1695328
AR0072-C,ERZ1695329
AR0073-C,ERZ1695330
AR0074-C,ERZ1695331
AR0075-C,ERZ1695332
AR0076-C,ERZ1695333
AR0077-C,ERZ1695334
AR0078-C,ERZ1695335
AR0079-C,ERZ1695336
AR0080-C,ERZ1695337
AR0081-Cx,ERZ1695338
AR0082-C,ERZ1695339
AR0083-C,ERZ1695340
AR0084-C,ERZ1695341
AR0085-C,ERZ1695342
AR0086-C,ERZ1695343
AR0087-C,ERZ1695344
AR0088-C,ERZ1695345
AR0089-C,ERZ1695346
AR0090-Cx,ERZ1695347
AR0092-C,ERZ1695348
AR0093-C,ERZ1695349
AR0094-C,ERZ1695350
AR0095-C,ERZ1695351
AR0096-C,ERZ1695352
AR0097-C,ERZ1695353
AR0098-C,ERZ1695354
AR0100-C,ERZ1695355
AB0085-Cx,ERZ1695356
AB0086-Cx,ERZ1695357
AB0087-C,ERZ1695358
AB0088-C,ERZ1695359
AB0089-Cx,ERZ1695360
AB0090-C,ERZ1695361
AB0091-C,ERZ1695362
AB0092-C,ERZ1695363
AB0094-Cx,ERZ1695364
AB0095-Cx,ERZ1695365
AB0096-C,ERZ1695366
AB0097-Cx,ERZ1695367
AB0098-Cx,ERZ1695368
AB0099-Cx,ERZ1695369
AB0100-C,ERZ1695370
AB0101-C,ERZ1695371
