############################################################################
# Table S2 | Sample data and accessions for Anopheles gambiae genomic data sourced from the Ag1000G (Anopheles gambiae 1000 Genomes) Consortium AR3 data release. This metadata is a subset of the full metadata set provided at https://www.malariagen.net/apps/ag1000g/phase1-AR3/index.html#start.
############################################################################
Population,Sample,ox_code,country,year,sex,latitude,longitude,mean coverage
BFS,ERS224670,AB0281-C,Burkina Faso,2012,F,11.15,-4.235,53.4185
BFS,ERS224248,AB0283-C,Burkina Faso,2012,F,11.15,-4.235,29.3857
BFS,ERS224089,AB0284-C,Burkina Faso,2012,F,11.15,-4.235,30.3154
BFS,ERS224283,AB0244-C,Burkina Faso,2012,F,11.235,-4.535,28.2682
BFS,ERS224294,AB0274-C,Burkina Faso,2012,F,11.15,-4.235,34.9151
BFS,ERS224165,AB0278-C,Burkina Faso,2012,F,11.15,-4.235,68.7802
BFS,ERS224095,AB0265-C,Burkina Faso,2012,F,11.15,-4.235,36.507
BFS,ERS224295,AB0268-C,Burkina Faso,2012,F,11.15,-4.235,32.0071
BFS,ERS224227,AB0238-C,Burkina Faso,2012,F,11.235,-4.535,37.5645
BFS,ERS223790,AB0205-C,Burkina Faso,2012,F,11.15,-4.235,37.5195
BFS,ERS223797,AB0206-C,Burkina Faso,2012,F,11.15,-4.235,37.1178
BFS,ERS223771,AB0207-C,Burkina Faso,2012,F,11.235,-4.535,37.6122
BFS,ERS223827,AB0208-C,Burkina Faso,2012,F,11.235,-4.535,33.6122
BFS,ERS223759,AB0211-C,Burkina Faso,2012,F,11.233,-4.472,35.2468
BFS,ERS223750,AB0217-C,Burkina Faso,2012,F,11.235,-4.535,31.8459
BFS,ERS223967,AB0198-C,Burkina Faso,2012,F,11.15,-4.235,34.6639
BFS,ERS223970,AB0103-C,Burkina Faso,2012,F,11.233,-4.472,33.014
BFS,ERS223924,AB0147-C,Burkina Faso,2012,F,11.235,-4.535,42.7108
KES,ERS224300,AK0065-C,Kenya,2012,F,-3.635,39.858,36.9316
KES,ERS224168,AK0067-C,Kenya,2012,F,-3.635,39.858,30.6598
KES,ERS224314,AK0095-C,Kenya,2012,F,-3.635,39.858,42.2518
KES,ERS224235,AK0088-C,Kenya,2012,F,-3.635,39.858,33.5567
KES,ERS224245,AK0087-C,Kenya,2012,F,-3.635,39.858,31.3453
KES,ERS224206,AK0086-C,Kenya,2012,F,-3.635,39.858,33.7607
KES,ERS224153,AK0077-C,Kenya,2012,F,-3.635,39.858,43.3658
KES,ERS224091,AK0110-C,Kenya,2012,F,-3.862,39.745,31.3143
KES,ERS224105,AK0104-C,Kenya,2012,F,-3.862,39.745,67.0734
KES,ERS224112,AK0108-C,Kenya,2012,F,-3.862,39.745,52.8781
KES,ERS224167,AK0098-C,Kenya,2012,F,-3.862,39.745,29.1327
KES,ERS224209,AK0096-C,Kenya,2012,F,-3.862,39.745,30.2659
KES,ERS224224,AK0093-C,Kenya,2012,F,-3.635,39.858,29.387
KES,ERS224217,AK0073-C,Kenya,2012,F,-3.635,39.858,28.1673
KES,ERS224218,AK0127-C,Kenya,2012,F,-3.635,39.858,62.1446
KES,ERS224115,AK0072-C,Kenya,2012,F,-3.635,39.858,54.2895
KES,ERS224205,AK0094-C,Kenya,2012,F,-3.635,39.858,59.4621
KES,ERS224170,AK0090-C,Kenya,2012,F,-3.635,39.858,69.9498
