"filename" "tajima_d" "missing_data" "missing_type" "vcf_source" "max_pi_vcftools"
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_100.vcf.Tajima.D" -1.30326 0.99 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1000.vcf.Tajima.D" -1.58294 0.9 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_10000.vcf.Tajima.D" -1.5948 0 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_10000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1100.vcf.Tajima.D" -1.59181 0.89 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1200.vcf.Tajima.D" -1.80075 0.88 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1300.vcf.Tajima.D" -1.43253 0.87 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1400.vcf.Tajima.D" -1.55549 0.86 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1500.vcf.Tajima.D" -1.6308 0.85 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1600.vcf.Tajima.D" -1.48314 0.84 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1700.vcf.Tajima.D" -1.63543 0.83 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1700.vcf" NA
