filename,chromosome,window_pos_1,window_pos_2,sk_allel_avg_watterson_theta,exp_pi,sk_allel_tajima_d,sk_allel_no_sites
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar,1,1,10000,0.0351178142213344,0.04,-1.5948000760254,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_10000,1,1,10000,0.0351178142213344,0.04,-1.5948000760254,10000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1000,1,1,10000,0.00347701130904301,0.04,-1.5829391375383,1000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_100,1,1,10000,0.000309067671914934,0.04,-1.30326100079355,100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1100,1,1,10000,0.0040758299233782,0.04,-1.59180950602606,1100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1200,1,1,10000,0.00401787973489415,0.04,-1.80075482298827,1200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1300,1,1,10000,0.00434626413630377,0.04,-1.43253189099762,1300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1400,1,1,10000,0.00556321809446882,0.04,-1.55548640821322,1400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1500,1,1,10000,0.00506098312760705,0.04,-1.63079713650208,1500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1600,1,1,10000,0.00538936752901667,0.04,-1.48313748766898,1600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1700,1,1,10000,0.00618135343829869,0.04,-1.63542501051034,1700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1800,1,1,10000,0.00614271997930932,0.04,-1.46267895459007,1800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_1900,1,1,10000,0.00612340324981464,0.04,-1.63767374002307,1900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2000,1,1,10000,0.00685743897061261,0.04,-1.512453337919,2000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_200,1,1,10000,0.000811302638776703,0.04,-1.95910556458487,200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2100,1,1,10000,0.00714718991303286,0.04,-1.63827415021859,2100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2200,1,1,10000,0.00751420777343184,0.04,-1.62796222495151,2200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2300,1,1,10000,0.00828687695321918,0.04,-1.72928674279498,2300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2400,1,1,10000,0.00809370965827235,0.04,-1.70418176118177,2400
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2500,1,1,10000,0.00892432902654373,0.04,-1.6077221430305,2500
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2600,1,1,10000,0.00981289858329917,0.04,-1.63535701845881,2600
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2700,1,1,10000,0.00963904801784702,0.04,-1.5003907520904,2700
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2800,1,1,10000,0.00963904801784702,0.04,-1.67619360315262,2800
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_2900,1,1,10000,0.0101026495257194,0.04,-1.47471216293166,2900
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3000,1,1,10000,0.0108946354350014,0.04,-1.53496342078019,3000
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_300,1,1,10000,0.00117832049917569,0.04,-1.46447254751149,300
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3100,1,1,10000,0.011165069647927,0.04,-1.61218450306372,3100
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3200,1,1,10000,0.0117059380737781,0.04,-1.58110486748431,3200
pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_3300,1,1,10000,0.0111457529184323,0.04,-1.55011944674783,3300
